task,playerCount,score,duration,stageId,playerIds,High,Low,Medium,efficiency,wave
Typing,1,1.1627906976744187,0.22503333333333334,PZsScZG7MMWwjLvdv,QjBuvRLYK6gvwSWnC,0,1,0,5.167193146235011,2
Random Dot Motion,1,63.02202251390385,0.0715,h9thXkevg9MuyxEyw,RFeL2xJsdH788jd9z,0,0,1,881.4268883063476,2
Random Dot Motion,1,63.45531001945043,0.2379,pBhPnSnmh64sKDQ5s,NJv6Jh5xqmMzPJxst,1,0,0,266.7310215193377,2
Random Dot Motion,1,97.73828946047911,0.2468,s4ZbMhxGfwqedEgSs,NJv6Jh5xqmMzPJxst,0,1,0,396.0222425465118,2
Typing,1,14.285714285714286,3.0163,r4yWWDijHgSjFCDBZ,NJv6Jh5xqmMzPJxst,0,0,1,4.736171563078701,2
Typing,1,7.6923076923076925,3.0124666666666666,ExqsKQ8DJqSRkKczF,NJv6Jh5xqmMzPJxst,1,0,0,2.5534913887758734,2
Typing,1,15.116279069767442,3.014,n4NkxkXAhgBNsT5Bb,NJv6Jh5xqmMzPJxst,0,1,0,5.015354701316338,2
Unscramble Words,1,0,2.00565,oc3wCH7sTwzZwsuY2,NJv6Jh5xqmMzPJxst,0,0,1,0,2
Unscramble Words,1,25,2.0162666666666667,kgoKoeLZess2h4aWn,NJv6Jh5xqmMzPJxst,1,0,0,12.399153551117577,2
Unscramble Words,1,0,2.015083333333333,9TH5QrbuB7Zr6uz44,NJv6Jh5xqmMzPJxst,0,1,0,0,2
Random Dot Motion,1,11.53754410792523,0.37298333333333333,C9EXt538Y5GJ92wMS,Y2Gd3Aqj6E9jQngfd,0,0,1,30.933135818200714,2
Random Dot Motion,1,65.18915044518467,0.17083333333333334,G7gwfZG2QfuiSi4Tx,Y2Gd3Aqj6E9jQngfd,1,0,0,381.59502699620293,2
Random Dot Motion,1,92.34375117338139,0.15455,7BXHEyCiLvjdFzTcx,Y2Gd3Aqj6E9jQngfd,0,1,0,597.5008163919857,2
Typing,1,44.285714285714285,3.016166666666667,Jr3KsNLytHAGAMkWL,Y2Gd3Aqj6E9jQngfd,0,0,1,14.682780887124148,2
Typing,1,30.76923076923077,3.0131,pQL5ePcwnaXP3MPBQ,Y2Gd3Aqj6E9jQngfd,1,0,0,10.211818648312624,2
Typing,1,32.55813953488372,3.0130666666666666,dQoc6fmTaXw5iwcKo,Y2Gd3Aqj6E9jQngfd,0,1,0,10.805648575609696,2
Unscramble Words,1,62.5,1.9609166666666666,uQE5S7TMcLDRnrSoc,Y2Gd3Aqj6E9jQngfd,0,0,1,31.872848582720668,2
Unscramble Words,1,75,1.9346,GJuGCHFDW7rezRk3E,Y2Gd3Aqj6E9jQngfd,1,0,0,38.767703918122606,2
Unscramble Words,1,100,1.1043666666666667,MWWQmx7YBTTHxKEjK,Y2Gd3Aqj6E9jQngfd,0,1,0,90.54963629229422,2
