score,task_name
100.0,Writing story
100.0,Writing story
50.0,Moral Reasoning (Disciplinary Action Case)
69.1176470588235,Word construction from a subset of letters
71.4285714285714,Word construction from a subset of letters
89.0,Room assignment task
93.0,Room assignment task
13.0653266331658,Whac-A-Mole
53.0,Guessing the correlation
37.6344086021505,Whac-A-Mole
87.0,Room assignment task
0.0,Room assignment task
5.3763440860215,Whac-A-Mole
61.1428571428571,Whac-A-Mole
98.0,Room assignment task
100.0,Sudoku
50.0,Moral Reasoning (Disciplinary Action Case)
100.0,Divergent Association Task
80.0,Moral Reasoning (Disciplinary Action Case)
77.319587628866,Room assignment task
53.0,Sudoku
55.0,Sudoku
45.7142857142857,Whac-A-Mole
100.0,Guessing the correlation
0.0,Allocating resources to programs
100.0,Moral Reasoning (Disciplinary Action Case)
97.367137039936,Divergent Association Task
78.3505154639175,Room assignment task
0.0,Allocating resources to programs
92.875124520553,Divergent Association Task
93.4415311763729,Divergent Association Task
80.0,Allocating resources to programs
90.0,Moral Reasoning (Disciplinary Action Case)
35.0,Guessing the correlation
100.0,Sudoku
57.5,Sudoku
70.0,Moral Reasoning (Disciplinary Action Case)
44.6428571428571,Word construction from a subset of letters
8.0,Room assignment task
47.0,Sudoku
88.8888888888889,Writing story
98.0,Room assignment task
61.0,Guessing the correlation
49.0,Guessing the correlation
93.2941175400075,Divergent Association Task
100.0,"Wolf, goat and cabbage transfer"
100.0,Room assignment task
84.0,Guessing the correlation
0.0,Allocating resources to programs
100.0,Allocating resources to programs
100.0,"Wolf, goat and cabbage transfer"
38.8888888888889,Word construction from a subset of letters
80.0,Allocating resources to programs
100.0,Room assignment task
90.0,Allocating resources to programs
88.8888888888889,Writing story
50.0,Moral Reasoning (Disciplinary Action Case)
83.4170854271357,Whac-A-Mole
20.6185567010309,Room assignment task
50.0,Moral Reasoning (Disciplinary Action Case)
100.0,Sudoku
97.7827857278311,Divergent Association Task
46.4285714285714,Word construction from a subset of letters
60.0,Guessing the correlation
57.7889447236181,Whac-A-Mole
0.0,Allocating resources to programs
100.0,"Wolf, goat and cabbage transfer"
100.0,"Wolf, goat and cabbage transfer"
0.0,Room assignment task
98.0,Room assignment task
85.0,Sudoku
92.462311557789,Whac-A-Mole
100.0,Writing story
90.2573243169787,Divergent Association Task
93.035767729067,Divergent Association Task
100.0,"Wolf, goat and cabbage transfer"
91.5142181362701,Divergent Association Task
82.0,Guessing the correlation
91.0,Room assignment task
50.0,Moral Reasoning (Disciplinary Action Case)
31.0,Guessing the correlation
77.7777777777778,Writing story
50.0,Allocating resources to programs
90.0,Allocating resources to programs
100.0,Sudoku
0.0,Allocating resources to programs
100.0,Writing story
88.8888888888889,Writing story
50.0,Moral Reasoning (Disciplinary Action Case)
98.0,Room assignment task
92.6302780091772,Divergent Association Task
83.5051546391753,Room assignment task
42.8571428571429,Word construction from a subset of letters
75.9259259259259,Word construction from a subset of letters
94.4067006890767,Divergent Association Task
93.0,Guessing the correlation
16.6666666666667,Whac-A-Mole
89.0967130146031,Divergent Association Task
91.0,Room assignment task
0.0,Allocating resources to programs
90.0,Allocating resources to programs
80.0,Moral Reasoning (Disciplinary Action Case)
33.9285714285714,Word construction from a subset of letters
55.5555555555556,Writing story
78.894472361809,Whac-A-Mole
90.0,Allocating resources to programs
89.3167465659994,Divergent Association Task
70.8571428571429,Whac-A-Mole
90.0,Allocating resources to programs
21.7142857142857,Whac-A-Mole
88.9447236180904,Whac-A-Mole
77.7777777777778,Writing story
56.25,Sudoku
82.0,Guessing the correlation
15.5778894472362,Whac-A-Mole
69.7142857142857,Whac-A-Mole
82.5,Sudoku
100.0,Allocating resources to programs
90.0,Moral Reasoning (Disciplinary Action Case)
61.7647058823529,Word construction from a subset of letters
100.0,"Wolf, goat and cabbage transfer"
100.0,"Wolf, goat and cabbage transfer"
80.0,Allocating resources to programs
60.0,"Wolf, goat and cabbage transfer"
100.0,"Wolf, goat and cabbage transfer"
100.0,Sudoku
92.447689226714,Divergent Association Task
88.8785956538633,Divergent Association Task
88.0,Room assignment task
38.8888888888889,Word construction from a subset of letters
90.0,Moral Reasoning (Disciplinary Action Case)
0.0,Allocating resources to programs
53.0,Sudoku
100.0,Writing story
93.0,Room assignment task
100.0,Writing story
94.0,Guessing the correlation
100.0,Guessing the correlation
100.0,Room assignment task
17.1428571428571,Whac-A-Mole
100.0,"Wolf, goat and cabbage transfer"
100.0,Sudoku
90.0,Room assignment task
100.0,"Wolf, goat and cabbage transfer"
0.0,Whac-A-Mole
100.0,"Wolf, goat and cabbage transfer"
100.0,Guessing the correlation
6.85714285714286,Whac-A-Mole
65.979381443299,Room assignment task
0.0,Moral Reasoning (Disciplinary Action Case)
100.0,Writing story
80.0,Moral Reasoning (Disciplinary Action Case)
95.8762886597938,Room assignment task
70.1030927835052,Room assignment task
16.1764705882353,Word construction from a subset of letters
96.6371831006735,Divergent Association Task
98.0,Room assignment task
0.0,"Wolf, goat and cabbage transfer"
80.0,Allocating resources to programs
75.0,Sudoku
31.4814814814815,Word construction from a subset of letters
100.0,Writing story
0.0,Divergent Association Task
100.0,Moral Reasoning (Disciplinary Action Case)
86.0,Room assignment task
0.0,Allocating resources to programs
25.9259259259259,Word construction from a subset of letters
0.0,Allocating resources to programs
95.9799526831673,Divergent Association Task
79.3814432989691,Room assignment task
100.0,Room assignment task
31.6582914572864,Whac-A-Mole
0.0,Whac-A-Mole
0.0,"Wolf, goat and cabbage transfer"
88.8888888888889,Writing story
95.3056278623766,Divergent Association Task
100.0,Sudoku
90.0,Moral Reasoning (Disciplinary Action Case)
95.0,Room assignment task
77.9411764705882,Word construction from a subset of letters
60.0,Sudoku
100.0,Sudoku
100.0,Writing story
91.0,Guessing the correlation
18.0,Guessing the correlation
80.0,Moral Reasoning (Disciplinary Action Case)
15.5778894472362,Whac-A-Mole
56.989247311828,Whac-A-Mole
91.7525773195876,Room assignment task
100.0,Writing story
62.5,Word construction from a subset of letters
63.4408602150538,Whac-A-Mole
41.7085427135678,Whac-A-Mole
44.0,Guessing the correlation
69.0,Guessing the correlation
78.894472361809,Whac-A-Mole
27.0,Guessing the correlation
30.8823529411765,Word construction from a subset of letters
0.0,"Wolf, goat and cabbage transfer"
0.0,Moral Reasoning (Disciplinary Action Case)
93.0,Guessing the correlation
32.0,Guessing the correlation
100.0,Sudoku
43.0,"Wolf, goat and cabbage transfer"
100.0,Allocating resources to programs
100.0,Writing story
100.0,Guessing the correlation
47.0588235294118,Word construction from a subset of letters
100.0,Moral Reasoning (Disciplinary Action Case)
0.0,Moral Reasoning (Disciplinary Action Case)
0.0,Allocating resources to programs
100.0,"Wolf, goat and cabbage transfer"
100.0,"Wolf, goat and cabbage transfer"
71.4285714285714,Word construction from a subset of letters
0.0,Whac-A-Mole
100.0,Writing story
100.0,Writing story
89.3361824747671,Divergent Association Task
47.0588235294118,Word construction from a subset of letters
50.0,Moral Reasoning (Disciplinary Action Case)
55.3571428571429,Word construction from a subset of letters
0.0,Room assignment task
88.8888888888889,Writing story
100.0,Writing story
100.0,Sudoku
0.0,Allocating resources to programs
100.0,Sudoku
55.0,Guessing the correlation
71.0,Sudoku
48.0,Sudoku
0.0,Allocating resources to programs
58.9285714285714,Word construction from a subset of letters
27.0,Guessing the correlation
80.0,Moral Reasoning (Disciplinary Action Case)
100.0,Room assignment task
17.7142857142857,Whac-A-Mole
83.9285714285714,Word construction from a subset of letters
75.9259259259259,Word construction from a subset of letters
69.1176470588235,Word construction from a subset of letters
80.0,Allocating resources to programs
100.0,Divergent Association Task
100.0,Sudoku
75.0,Moral Reasoning (Disciplinary Action Case)
0.0,Allocating resources to programs
100.0,Allocating resources to programs
88.8888888888889,Writing story
0.0,Allocating resources to programs
100.0,"Wolf, goat and cabbage transfer"
100.0,Sudoku
88.659793814433,Room assignment task
67.8571428571429,Word construction from a subset of letters
51.25,Sudoku
54.0,Guessing the correlation
93.0,Room assignment task
95.3245838409345,Divergent Association Task
100.0,Sudoku
80.0,Moral Reasoning (Disciplinary Action Case)
30.3571428571429,Word construction from a subset of letters
100.0,Allocating resources to programs
91.0,Room assignment task
80.0,Allocating resources to programs
94.0,Room assignment task
95.0,Guessing the correlation
53.0,Sudoku
61.1428571428571,Whac-A-Mole
84.2871774586696,Divergent Association Task
100.0,Writing story
0.0,Whac-A-Mole
100.0,Writing story
100.0,Room assignment task
100.0,Guessing the correlation
27.7777777777778,Word construction from a subset of letters
30.3571428571429,Word construction from a subset of letters
78.0,"Wolf, goat and cabbage transfer"
0.0,"Wolf, goat and cabbage transfer"
33.9285714285714,Word construction from a subset of letters
61.8090452261307,Whac-A-Mole
3.76344086021505,Whac-A-Mole
61.0,Guessing the correlation
70.0,Moral Reasoning (Disciplinary Action Case)
100.0,Sudoku
11.7647058823529,Word construction from a subset of letters
100.0,Sudoku
20.0,Whac-A-Mole
0.0,Moral Reasoning (Disciplinary Action Case)
87.6288659793814,Room assignment task
100.0,"Wolf, goat and cabbage transfer"
61.0,Sudoku
67.0103092783505,Room assignment task
98.75,Sudoku
55.5555555555556,Writing story
40.5714285714286,Whac-A-Mole
43.0,"Wolf, goat and cabbage transfer"
97.0,Guessing the correlation
100.0,Writing story
30.8823529411765,Word construction from a subset of letters
98.2206371508625,Divergent Association Task
61.7647058823529,Word construction from a subset of letters
98.0,Room assignment task
100.0,Moral Reasoning (Disciplinary Action Case)
100.0,"Wolf, goat and cabbage transfer"
100.0,"Wolf, goat and cabbage transfer"
100.0,"Wolf, goat and cabbage transfer"
80.0,Moral Reasoning (Disciplinary Action Case)
100.0,Moral Reasoning (Disciplinary Action Case)
0.0,Moral Reasoning (Disciplinary Action Case)
85.0,Room assignment task
50.0,Moral Reasoning (Disciplinary Action Case)
88.0,Room assignment task
